case,instance,plan_replaced,requested_failures,achieved_failures,failure_sequence,original_completion,final_completion,change_percent,total_runtime_seconds,stopped_reason,audit_ok,rejected_candidates
C_6_10,C-10-6,False,3,3,1@2.6370 -> 2@3.3674 -> 5@5.1803,7.471067811865476,12.214483085436468,63.49045936964388,0.0322095419978722,,True,0
C_6_20,C-20-6,True,1,1,2@3.3715,8.94534526785967,11.717391345940216,30.988698536214315,0.0179039579816162,,True,0
C_6_30,C-30-6,False,2,2,1@2.4811 -> 2@4.5156,10.47264288850507,14.636884697767156,39.76304600086018,0.0465426259906962,,True,0
R_6_10,R-10-6,False,2,2,2@3.5540 -> 1@3.9273,8.340391890150384,10.028376377694412,20.23867115329988,0.0326954590273089,,True,0
R_6_20,R-20-6,False,2,2,2@3.9595 -> 1@4.0456,9.18318126089086,13.01387808367176,41.714267789692826,0.0513622490107081,,True,0
R_6_30,R-30-6,False,1,1,2@4.2659,9.53329040233196,12.050121597775888,26.400446112795215,0.0464252079837024,,True,0
RC_6_10,RC-10-6,False,2,2,1@2.9320 -> 4@3.0530,10.713347951422914,11.71582569404911,9.357277922566212,0.0273117079632356,,True,0
RC_6_20,RC-20-6,False,2,2,1@2.9978 -> 2@4.2925,8.767876458314285,12.539501525914968,43.01640295152854,0.0360182499862276,,True,0
RC_6_30,RC-30-6,False,2,2,1@3.0824 -> 3@3.5605,10.29395064259977,13.1960790841627,28.192562237018727,0.039527959015686,,True,0
C_9_10,C-10-9,False,1,1,4@0.5463,12.322397154011108,12.222397154011109,-0.811530408816977,0.0054895419743843,,True,0
C_9_20,C-20-9,False,1,1,1@5.9414,11.53817617731256,12.40945059619678,7.551231715436974,0.0390376249561086,,True,0
C_9_30,C-30-9,False,2,2,3@4.5645 -> 2@4.9633,12.627396302675429,16.43141730149778,30.1251414594185,0.0928841659915633,,True,0
R_9_10,R-10-9,False,1,1,5@1.6412,15.284491745783932,15.24336751238742,-0.2690585600129925,0.041285167040769,,True,0
R_9_20,R-20-9,False,4,4,5@1.8013 -> 3@1.9854 -> 4@6.2629 -> 2@6.3657,16.523113929312522,27.079855163942657,63.89074892174014,0.254712039954029,,True,0
R_9_30,R-30-9,False,4,4,2@0.1996 -> 5@2.0538 -> 3@2.9265 -> 1@6.4614,16.00842677161294,41.3307820929279,158.18141084430616,0.3481622510007582,,True,0
RC_9_10,RC-10-9,False,2,2,2@3.2185 -> 4@5.4052,11.193872080291442,12.147809498623811,8.521961046990405,0.0582911670207977,,True,0
RC_9_20,RC-20-9,True,3,3,5@3.4462 -> 2@4.0752 -> 3@5.6653,12.22319554679335,15.66907575456478,28.191320302287284,0.0900092499796301,,True,0
RC_9_30,RC-30-9,False,3,3,5@3.5187 -> 2@4.9602 -> 3@7.4010,13.2185746180198,18.807905522427077,42.283915368513334,0.2165689589455723,,True,0
C_12_10,C-10-12,True,4,4,2@7.0527 -> 3@10.2090 -> 1@11.4343 -> 4@12.0017,14.3587621435867,20.07326778150948,39.79803816497613,0.1226092500728555,,True,0
C_12_20,C-20-12,False,1,1,1@6.9004,19.26195013796774,23.170804197839868,20.29313767232364,0.1874170419760048,,True,0
R_12_10,R-10-12,False,3,3,2@3.0138 -> 5@5.6180 -> 3@7.2984,22.893535463874713,24.414642789693517,6.644265706443917,0.045091375010088,,True,0
R_12_20,R-20-12,False,1,1,5@3.3561,21.165432333962467,21.95090098442838,3.7110919260814423,0.0764710829826071,,True,0
R_12_30,R-30-12,False,4,4,2@5.0490 -> 1@5.5022 -> 5@8.7239 -> 3@12.0606,25.93003220115753,52.95870132295301,104.23692848553,0.4823760830331594,,True,0
RC_12_10,RC-10-12,True,1,1,3@0.6320,17.23322720908419,15.953321869532004,-7.426962599770675,0.0545725420233793,,True,0
RC_12_20,RC-20-12,False,3,3,3@2.9218 -> 2@3.9873 -> 5@5.7706,19.83714703951449,24.910076343458528,25.572877459843617,0.2420790420146659,,True,0
C_12_30,C-30-12,True,2,2,2@7.8681 -> 5@9.2902,17.187348552768555,21.286145726702895,23.84775732772407,0.2277211670298129,,True,0
RC_12_30,RC-30-12,True,1,1,5@0.5500,16.763794128893778,22.34811972306879,33.311823989474846,0.196052333980333,,True,0
